idx,name,group,perm_importance_mean,perm_importance_std,raw_xgb_gain_importance
0,stat:mean,stats,0.007200,0.002340,0.007065
1,stat:std,stats,0.014322,0.002599,0.009831
2,stat:skew,stats,0.009421,0.002439,0.005408
3,stat:kurt,stats,0.012137,0.001203,0.005211
4,stat:entropy,stats,0.002218,0.001426,0.006575
5,stat:p10,stats,0.024115,0.003249,0.002137
6,stat:p25,stats,0.006458,0.001416,0.001186
7,stat:p50,stats,0.019076,0.003292,0.012296
8,stat:p75,stats,0.018694,0.002582,0.013538
9,stat:p90,stats,0.012966,0.002506,0.009653
10,glcm:contrast_d1,GLCM,0.007723,0.001666,0.008028
11,glcm:contrast_d3,GLCM,0.006459,0.002255,0.012282
12,glcm:dissimilarity_d1,GLCM,0.003273,0.001574,0.011657
13,glcm:dissimilarity_d3,GLCM,0.002409,0.001640,0.011610
14,glcm:homogeneity_d1,GLCM,0.001681,0.000989,0.031689
15,glcm:homogeneity_d3,GLCM,0.001098,0.000797,0.002837
16,glcm:energy_d1,GLCM,0.002117,0.001755,0.002633
17,glcm:energy_d3,GLCM,0.001927,0.001183,0.008364
18,glcm:correlation_d1,GLCM,0.017823,0.002547,0.019104
19,glcm:correlation_d3,GLCM,0.011529,0.003001,0.010277
20,glcm:ASM_d1,GLCM,0.002110,0.001275,0.000000
21,glcm:ASM_d3,GLCM,0.003222,0.001092,0.018857
22,lbp:P8R1_b0,LBP,0.014685,0.002704,0.022159
23,lbp:P8R1_b1,LBP,0.007624,0.002465,0.012248
24,lbp:P8R1_b2,LBP,0.005629,0.001491,0.011874
25,lbp:P8R1_b3,LBP,0.000450,0.000988,0.022121
26,lbp:P8R1_b4,LBP,0.022051,0.002344,0.006757
27,lbp:P8R1_b5,LBP,0.004302,0.001901,0.008520
28,lbp:P8R1_b6,LBP,0.005719,0.001158,0.003515
29,lbp:P8R1_b7,LBP,0.004913,0.001162,0.029846
30,lbp:P8R1_b8,LBP,0.000813,0.000832,0.024001
31,lbp:P8R1_b9,LBP,0.006191,0.001322,0.004013
32,lbp:P16R2_b0,LBP,0.010849,0.002286,0.007351
33,lbp:P16R2_b1,LBP,0.016272,0.002402,0.007360
34,lbp:P16R2_b2,LBP,0.004261,0.001925,0.021728
35,lbp:P16R2_b3,LBP,0.003442,0.001213,0.000251
36,lbp:P16R2_b4,LBP,0.018497,0.002403,0.003944
37,lbp:P16R2_b5,LBP,0.006696,0.001737,0.004700
38,lbp:P16R2_b6,LBP,0.005688,0.001175,0.005759
39,lbp:P16R2_b7,LBP,0.004506,0.001693,0.010195
40,lbp:P16R2_b8,LBP,0.022551,0.002788,0.006487
41,lbp:P16R2_b9,LBP,0.017103,0.002993,0.007604
42,lbp:P16R2_b10,LBP,0.005786,0.001861,0.006309
43,lbp:P16R2_b11,LBP,0.011666,0.000905,0.012921
44,lbp:P16R2_b12,LBP,0.006296,0.001354,0.006820
45,lbp:P16R2_b13,LBP,0.006703,0.000990,0.002595
46,lbp:P16R2_b14,LBP,0.002965,0.000952,0.003417
47,lbp:P16R2_b15,LBP,0.007770,0.002004,0.012293
48,lbp:P16R2_b16,LBP,0.000582,0.000759,0.009228
49,lbp:P16R2_b17,LBP,0.005066,0.001273,0.023996
50,lbp:P24R3_b0,LBP,0.016065,0.002992,0.008365
51,lbp:P24R3_b1,LBP,0.030221,0.003509,0.008526
52,lbp:P24R3_b2,LBP,0.013437,0.002547,0.004660
53,lbp:P24R3_b3,LBP,0.011350,0.002590,0.002256
54,lbp:P24R3_b4,LBP,0.009587,0.002017,0.010158
55,lbp:P24R3_b5,LBP,0.007563,0.002904,0.003946
56,lbp:P24R3_b6,LBP,0.007684,0.001602,0.004089
57,lbp:P24R3_b7,LBP,0.005630,0.001534,0.002450
58,lbp:P24R3_b8,LBP,0.009047,0.002132,0.003409
59,lbp:P24R3_b9,LBP,0.018072,0.002343,0.003001
60,lbp:P24R3_b10,LBP,0.016585,0.003384,0.004196
61,lbp:P24R3_b11,LBP,0.015870,0.003064,0.004733
62,lbp:P24R3_b12,LBP,0.025897,0.003435,0.006137
63,lbp:P24R3_b13,LBP,0.020101,0.002109,0.004578
64,lbp:P24R3_b14,LBP,0.028467,0.002744,0.001880
65,lbp:P24R3_b15,LBP,0.016197,0.001427,0.012328
66,lbp:P24R3_b16,LBP,0.019309,0.001932,0.010705
67,lbp:P24R3_b17,LBP,0.014484,0.001230,0.078233
68,lbp:P24R3_b18,LBP,0.014885,0.002534,0.002558
69,lbp:P24R3_b19,LBP,0.007340,0.001642,0.003318
70,lbp:P24R3_b20,LBP,0.006892,0.002071,0.005999
71,lbp:P24R3_b21,LBP,0.011757,0.002094,0.009614
72,lbp:P24R3_b22,LBP,0.008909,0.002123,0.004809
73,lbp:P24R3_b23,LBP,0.015676,0.002066,0.017233
74,lbp:P24R3_b24,LBP,0.000593,0.000546,0.016088
75,lbp:P24R3_b25,LBP,0.004114,0.000985,0.011674
76,gabor:f0.1_t0_mean,Gabor,0.005421,0.001463,0.005283
77,gabor:f0.1_t0_std,Gabor,0.014027,0.002956,0.005108
78,gabor:f0.1_tpi/4_mean,Gabor,0.008682,0.001967,0.008719
79,gabor:f0.1_tpi/4_std,Gabor,0.022058,0.002494,0.008190
80,gabor:f0.1_tpi/2_mean,Gabor,0.017264,0.002200,0.006687
81,gabor:f0.1_tpi/2_std,Gabor,0.048443,0.005203,0.004091
82,gabor:f0.1_t3pi/4_mean,Gabor,0.013979,0.002260,0.003504
83,gabor:f0.1_t3pi/4_std,Gabor,0.019058,0.003130,0.006345
84,gabor:f0.2_t0_mean,Gabor,0.005462,0.002067,0.005105
85,gabor:f0.2_t0_std,Gabor,0.016057,0.001867,0.007303
86,gabor:f0.2_tpi/4_mean,Gabor,0.003987,0.001211,0.012234
87,gabor:f0.2_tpi/4_std,Gabor,0.016265,0.003307,0.013197
88,gabor:f0.2_tpi/2_mean,Gabor,0.023483,0.002635,0.008065
89,gabor:f0.2_tpi/2_std,Gabor,0.020247,0.003222,0.009483
90,gabor:f0.2_t3pi/4_mean,Gabor,0.003802,0.002051,0.003093
91,gabor:f0.2_t3pi/4_std,Gabor,0.029873,0.002468,0.006765
92,gabor:f0.3_t0_mean,Gabor,0.005754,0.001675,0.009130
93,gabor:f0.3_t0_std,Gabor,0.015874,0.002288,0.004859
94,gabor:f0.3_tpi/4_mean,Gabor,0.003805,0.001455,0.005428
95,gabor:f0.3_tpi/4_std,Gabor,0.022138,0.003563,0.014538
96,gabor:f0.3_tpi/2_mean,Gabor,0.013513,0.002438,0.009386
97,gabor:f0.3_tpi/2_std,Gabor,0.016471,0.002698,0.006399
98,gabor:f0.3_t3pi/4_mean,Gabor,0.003881,0.002073,0.008791
99,gabor:f0.3_t3pi/4_std,Gabor,0.018667,0.003123,0.006155
100,gabor:f0.4_t0_mean,Gabor,0.008067,0.001995,0.007111
101,gabor:f0.4_t0_std,Gabor,0.016344,0.001378,0.012378
102,gabor:f0.4_tpi/4_mean,Gabor,0.003856,0.001701,0.005419
103,gabor:f0.4_tpi/4_std,Gabor,0.024738,0.003811,0.009050
104,gabor:f0.4_tpi/2_mean,Gabor,0.019434,0.002239,0.012490
105,gabor:f0.4_tpi/2_std,Gabor,0.031872,0.003897,0.007421
106,gabor:f0.4_t3pi/4_mean,Gabor,0.007805,0.002367,0.005390
107,gabor:f0.4_t3pi/4_std,Gabor,0.042652,0.003519,0.009695
